seq	log_step	act	label	gate	learn_exp	min_low	min_exp	min_high	cum_exp	note
1	-	install	install a container runtime	lack	90.0	60.0	127.5	340.0	127.5	route A cannot start without a running Docker daemon; the agent's host already had one, as in batch 10
2	1	instrument	read the discovery-log specification	hold	0.0	0.0	0.0	0.0	127.5	exists because the agent was logging for this study
3	2	instrument	read the node's claim.md	hold	0.0	0.0	0.0	0.0	127.5	exists because of the study; it also named the commit, a contamination recorded in provenance
4	3	instrument	decide to pin the model at a9532c7	hold	0.0	0.0	0.0	0.0	127.5	a human would take the repository as it stands, which at the time was the same commit
5	4	milestone	first document opened	hold	0.0	0.0	0.0	0.0	127.5	
6	5	run_command	git clone the model	hold	0.0	1.0	2.2	6.0	129.7	
7	6	milestone	model obtained	hold	0.0	0.0	0.0	0.0	129.7	
8	7	read_doc	read the model README in full	lack	35.0	56.3	94.0	232.1	223.7	still written for a reader who already has containers, and still silent on chap eval
9	8	read_doc	read the Makefile, both compose files, the Dockerfile, pyproject.toml and the repository's CLAUDE.md	lack	35.0	32.8	56.1	110.1	279.8	
10	9	dropped	read main.py and the image-publishing workflow	-	0.0	0.0	0.0	0.0	279.8	a persona who would not open a model's source or its CI workflow does not learn the commit tag this way, and uses the tag compose.ghcr.yml names instead; nothing downstream depends on it
11	10	run_command	chap --version and chap --help	hold	0.0	1.0	2.2	6.0	282.0	
12	11	read_doc	chap eval --help	lack	22.0	20.3	35.6	75.9	317.6	the load-bearing fact is that MODEL-NAME may be a service URL, as in batch 10
13	12	decide	inspect the CSV, the schema and the GeoJSON, and check the feature ids match the location column	hold	0.0	2.0	4.5	12.0	322.1	
14	13	read_doc	read the chap-core README (discarded)	partial	1.5	3.7	5.7	11.6	327.8	read and found to carry nothing on chap eval
15	14	run_command	get the chap-core docs at the installed version's tag	hold	0.0	1.0	2.2	6.0	330.0	the agent cloned the repository at v2.3.1; a human browses the tag on GitHub, which costs about the same
16	15	read_doc	read docs/chap-cli/eval-reference.md	partial	0.0	10.6	15.2	28.8	345.1	documents the service-URL form and the sibling-GeoJSON convention; the convention batch 10 priced as undiscoverable is here
17	16	read_doc	read docs/chap-cli/evaluation-workflow.md	partial	0.0	7.6	10.8	20.6	356.0	names plot-backtest and export-metrics as the steps after chap eval
18	17	read_doc	read docs/external_models/chapkit.md	lack	0.0	12.2	17.4	33.1	373.4	gives the docker run then chap eval pattern outright, on the same Lao CSV
19	18	read_doc	chap plot-backtest --help and chap export-metrics --help	partial	0.0	1.4	2.1	3.9	375.5	
20	19	dropped	docker manifest inspect the commit-tagged published image	-	0.0	0.0	0.0	0.0	375.5	the manifest check of the commit-tagged image follows only from reading the publishing workflow; dropping one drops the other
21	20	decide	use the published image rather than build the Dockerfile	lack	0.0	5.0	11.2	30.0	386.7	the published image now pulls anonymously; batch 10's 401 does not arise
22	21	decide	consider running the model from its directory without Docker, and reject it	partial	5.0	5.3	11.3	28.0	398.0	
23	22	run_command	chap validate the Lao CSV	hold	0.0	1.0	2.2	6.0	400.2	
24	23	decide	run on the model's default configuration	partial	0.0	2.8	6.3	16.8	406.5	
25	24	instrument	fetch the public copy of the data and checksum it	hold	0.0	0.0	0.0	0.0	406.5	for the route script, not for the evaluation; the data were given
26	25	instrument	draft run_route.sh	hold	0.0	0.0	0.0	0.0	406.5	a deliverable of the study brief
27	26	run_command	docker pull the published image, amd64	lack	0.0	2.5	5.5	15.0	412.0	
28	-	wait	wait for the image to pull	hold	0.0	5.5	5.5	5.5	417.6	measured, in the clean-shell run of the route script, from the input checksums written to the image id written
29	27	run_command	docker run the service	lack	0.0	2.5	5.5	15.0	423.1	
30	28	decide	stage the CSV and the GeoJSON side by side with the same stem	hold	0.0	2.0	4.5	12.0	427.6	the convention is now taken from the docs rather than from library source
31	29	milestone	evaluation started	hold	0.0	0.0	0.0	0.0	427.6	
32	30	run_command	chap eval against the service	hold	0.0	1.0	2.2	6.0	429.8	
33	-	wait	wait for the evaluation to finish	hold	0.0	5.7	5.7	5.7	435.5	measured from the discovery log, evaluation_started to evaluation_complete; on an arm64 host the model runs under emulation
34	31	milestone	evaluation complete	hold	0.0	0.0	0.0	0.0	435.5	
